date,quote,rate_per_usd,source,retrieved_at
2015-04-01,KRW,1104.30,ecb,2026-09-15
2015-04-02,JPY,119.66,ecb,2026-09-15
2015-04-02,KRW,1092.62,ecb,2026-09-15
2015-04-07,JPY,120.15,ecb,2026-09-15
2015-04-07,KRW,1090.88,ecb,2026-09-15
2015-04-08,JPY,119.77,ecb,2026-09-15
2015-04-08,KRW,1090.58,ecb,2026-09-15
2015-04-09,JPY,119.94,ecb,2026-09-15
2015-04-09,KRW,1090.95,ecb,2026-09-15
2015-04-10,JPY,120.45,ecb,2026-09-15
2015-04-10,KRW,1095.48,ecb,2026-09-15
2015-04-13,JPY,120.55,ecb,2026-09-15
2015-04-13,KRW,1102.45,ecb,2026-09-15
2015-04-14,JPY,119.91,ecb,2026-09-15
2015-04-14,KRW,1095.17,ecb,2026-09-15
2015-04-15,JPY,119.60,ecb,2026-09-15
2015-04-15,KRW,1096.04,ecb,2026-09-15
2015-04-16,JPY,119.17,ecb,2026-09-15
2015-04-16,KRW,1087.26,ecb,2026-09-15
2015-04-17,JPY,118.78,ecb,2026-09-15
2015-04-17,KRW,1079.26,ecb,2026-09-15
2015-04-20,JPY,119.07,ecb,2026-09-15
2015-04-20,KRW,1082.02,ecb,2026-09-15
2015-04-21,JPY,119.39,ecb,2026-09-15
2015-04-21,KRW,1083.01,ecb,2026-09-15
2015-04-22,JPY,119.57,ecb,2026-09-15
2015-04-22,KRW,1077.75,ecb,2026-09-15
2015-04-23,JPY,120.09,ecb,2026-09-15
2015-04-23,KRW,1083.96,ecb,2026-09-15
2015-04-24,JPY,119.51,ecb,2026-09-15
2015-04-24,KRW,1078.25,ecb,2026-09-15
2015-04-27,JPY,119.41,ecb,2026-09-15
2015-04-27,KRW,1074.09,ecb,2026-09-15
2015-04-28,JPY,119.05,ecb,2026-09-15
2015-04-28,KRW,1068.16,ecb,2026-09-15
2015-04-29,JPY,119.25,ecb,2026-09-15
2015-04-29,KRW,1071.75,ecb,2026-09-15
2015-04-30,JPY,118.82,ecb,2026-09-15
2015-04-30,KRW,1072.21,ecb,2026-09-15
2015-05-04,JPY,120.22,ecb,2026-09-15
2015-05-04,KRW,1082.03,ecb,2026-09-15
2015-05-05,JPY,120.46,ecb,2026-09-15
2015-05-05,KRW,1083.67,ecb,2026-09-15
2015-05-06,JPY,119.85,ecb,2026-09-15
2015-05-06,KRW,1082.67,ecb,2026-09-15
2015-05-07,JPY,119.17,ecb,2026-09-15
2015-05-07,KRW,1091.58,ecb,2026-09-15
2015-05-08,JPY,120.22,ecb,2026-09-15
2015-05-08,KRW,1093.56,ecb,2026-09-15
2015-05-11,JPY,119.94,ecb,2026-09-15
2015-05-11,KRW,1094.63,ecb,2026-09-15
2015-05-12,JPY,119.98,ecb,2026-09-15
2015-05-12,KRW,1095.52,ecb,2026-09-15
2015-05-13,JPY,119.70,ecb,2026-09-15
2015-05-13,KRW,1095.29,ecb,2026-09-15
2015-05-14,JPY,119.20,ecb,2026-09-15
2015-05-14,KRW,1090.60,ecb,2026-09-15
2015-05-15,JPY,119.86,ecb,2026-09-15
2015-05-15,KRW,1089.76,ecb,2026-09-15
2015-05-18,JPY,119.70,ecb,2026-09-15
2015-05-18,KRW,1086.08,ecb,2026-09-15
2015-05-19,JPY,120.18,ecb,2026-09-15
2015-05-19,KRW,1090.60,ecb,2026-09-15
2015-05-20,JPY,120.91,ecb,2026-09-15
2015-05-20,KRW,1095.75,ecb,2026-09-15
2015-05-21,JPY,121.07,ecb,2026-09-15
2015-05-21,KRW,1094.16,ecb,2026-09-15
2015-05-22,JPY,120.93,ecb,2026-09-15
2015-05-22,KRW,1091.14,ecb,2026-09-15
2015-05-25,JPY,121.51,ecb,2026-09-15
2015-05-25,KRW,1097.11,ecb,2026-09-15
2015-05-26,JPY,122.71,ecb,2026-09-15
2015-05-26,KRW,1104.72,ecb,2026-09-15
2015-05-27,JPY,123.70,ecb,2026-09-15
2015-05-27,KRW,1109.38,ecb,2026-09-15
2015-05-28,JPY,124.23,ecb,2026-09-15
2015-05-28,KRW,1108.94,ecb,2026-09-15
2015-05-29,JPY,123.93,ecb,2026-09-15
2015-05-29,KRW,1112.41,ecb,2026-09-15
2015-06-01,JPY,124.08,ecb,2026-09-15
2015-06-01,KRW,1112.14,ecb,2026-09-15
2015-06-02,JPY,124.69,ecb,2026-09-15
2015-06-02,KRW,1114.18,ecb,2026-09-15
2015-06-03,JPY,124.36,ecb,2026-09-15
2015-06-03,KRW,1107.81,ecb,2026-09-15
2015-06-04,JPY,124.12,ecb,2026-09-15
2015-06-04,KRW,1110.65,ecb,2026-09-15
2015-06-05,JPY,124.77,ecb,2026-09-15
2015-06-05,KRW,1114.05,ecb,2026-09-15
2015-06-08,JPY,125.28,ecb,2026-09-15
2015-06-08,KRW,1121.73,ecb,2026-09-15
2015-06-09,JPY,124.06,ecb,2026-09-15
2015-06-09,KRW,1118.93,ecb,2026-09-15
2015-06-10,JPY,122.96,ecb,2026-09-15
2015-06-10,KRW,1112.69,ecb,2026-09-15
2015-06-11,JPY,123.71,ecb,2026-09-15
2015-06-11,KRW,1114.88,ecb,2026-09-15
2015-06-12,JPY,123.69,ecb,2026-09-15
2015-06-12,KRW,1115.40,ecb,2026-09-15
2015-06-15,JPY,123.50,ecb,2026-09-15
2015-06-15,KRW,1117.40,ecb,2026-09-15
2015-06-16,JPY,123.42,ecb,2026-09-15
2015-06-16,KRW,1119.97,ecb,2026-09-15
2015-06-17,JPY,123.93,ecb,2026-09-15
2015-06-17,KRW,1120.08,ecb,2026-09-15
2015-06-18,JPY,122.71,ecb,2026-09-15
2015-06-18,KRW,1103.31,ecb,2026-09-15
2015-06-19,JPY,123.19,ecb,2026-09-15
2015-06-19,KRW,1106.09,ecb,2026-09-15
2015-06-22,JPY,123.23,ecb,2026-09-15
2015-06-22,KRW,1100.94,ecb,2026-09-15
2015-06-23,JPY,123.81,ecb,2026-09-15
2015-06-23,KRW,1105.81,ecb,2026-09-15
2015-06-24,JPY,123.90,ecb,2026-09-15
2015-06-24,KRW,1109.71,ecb,2026-09-15
2015-06-25,JPY,123.61,ecb,2026-09-15
2015-06-25,KRW,1111.30,ecb,2026-09-15
2015-06-26,JPY,123.71,ecb,2026-09-15
2015-06-26,KRW,1123.45,ecb,2026-09-15
2015-06-29,JPY,122.89,ecb,2026-09-15
2015-06-29,KRW,1122.50,ecb,2026-09-15
2015-06-30,JPY,122.45,ecb,2026-09-15
2015-06-30,KRW,1118.30,ecb,2026-09-15
2015-07-01,JPY,123.09,ecb,2026-09-15
2015-07-01,KRW,1123.31,ecb,2026-09-15
2015-07-02,JPY,123.64,ecb,2026-09-15
2015-07-02,KRW,1125.13,ecb,2026-09-15
2015-07-03,JPY,122.91,ecb,2026-09-15
2015-07-03,KRW,1123.66,ecb,2026-09-15
2015-07-06,JPY,122.74,ecb,2026-09-15
2015-07-06,KRW,1128.22,ecb,2026-09-15
2015-07-07,JPY,122.48,ecb,2026-09-15
2015-07-07,KRW,1132.94,ecb,2026-09-15
2015-07-08,JPY,121.44,ecb,2026-09-15
2015-07-08,KRW,1133.43,ecb,2026-09-15
2015-07-09,JPY,121.49,ecb,2026-09-15
2015-07-09,KRW,1130.17,ecb,2026-09-15
2015-07-10,JPY,122.38,ecb,2026-09-15
2015-07-10,KRW,1126.85,ecb,2026-09-15
2015-07-13,JPY,123.36,ecb,2026-09-15
2015-07-13,KRW,1133.45,ecb,2026-09-15
2015-07-14,JPY,123.31,ecb,2026-09-15
2015-07-14,KRW,1141.63,ecb,2026-09-15
2015-07-15,JPY,123.49,ecb,2026-09-15
2015-07-15,KRW,1143.57,ecb,2026-09-15
2015-07-16,JPY,124.14,ecb,2026-09-15
2015-07-16,KRW,1148.65,ecb,2026-09-15
2015-07-17,JPY,123.99,ecb,2026-09-15
2015-07-17,KRW,1147.05,ecb,2026-09-15
2015-07-20,JPY,124.24,ecb,2026-09-15
2015-07-20,KRW,1156.00,ecb,2026-09-15
2015-07-21,JPY,124.39,ecb,2026-09-15
2015-07-21,KRW,1153.00,ecb,2026-09-15
2015-07-22,JPY,123.81,ecb,2026-09-15
2015-07-22,KRW,1153.46,ecb,2026-09-15
2015-07-23,JPY,123.78,ecb,2026-09-15
2015-07-23,KRW,1158.92,ecb,2026-09-15
2015-07-24,JPY,124.05,ecb,2026-09-15
2015-07-24,KRW,1174.12,ecb,2026-09-15
2015-07-27,JPY,123.20,ecb,2026-09-15
2015-07-27,KRW,1169.64,ecb,2026-09-15
2015-07-28,JPY,123.77,ecb,2026-09-15
2015-07-28,KRW,1164.47,ecb,2026-09-15
2015-07-29,JPY,123.75,ecb,2026-09-15
2015-07-29,KRW,1157.87,ecb,2026-09-15
2015-07-30,JPY,124.37,ecb,2026-09-15
2015-07-30,KRW,1173.17,ecb,2026-09-15
2015-07-31,JPY,124.32,ecb,2026-09-15
2015-07-31,KRW,1173.89,ecb,2026-09-15
2015-08-03,JPY,124.25,ecb,2026-09-15
2015-08-03,KRW,1170.64,ecb,2026-09-15
2015-08-04,JPY,124.00,ecb,2026-09-15
2015-08-04,KRW,1161.74,ecb,2026-09-15
2015-08-05,JPY,124.26,ecb,2026-09-15
2015-08-05,KRW,1169.93,ecb,2026-09-15
2015-08-06,JPY,124.89,ecb,2026-09-15
2015-08-06,KRW,1167.13,ecb,2026-09-15
2015-08-07,JPY,124.70,ecb,2026-09-15
2015-08-07,KRW,1163.02,ecb,2026-09-15
2015-08-10,JPY,124.70,ecb,2026-09-15
2015-08-10,KRW,1163.40,ecb,2026-09-15
2015-08-11,JPY,124.82,ecb,2026-09-15
2015-08-11,KRW,1179.92,ecb,2026-09-15
2015-08-12,JPY,124.11,ecb,2026-09-15
2015-08-12,KRW,1174.66,ecb,2026-09-15
2015-08-13,JPY,124.43,ecb,2026-09-15
2015-08-13,KRW,1178.45,ecb,2026-09-15
2015-08-14,JPY,124.16,ecb,2026-09-15
2015-08-14,KRW,1176.96,ecb,2026-09-15
2015-08-17,JPY,124.52,ecb,2026-09-15
2015-08-17,KRW,1185.62,ecb,2026-09-15
2015-08-18,JPY,124.27,ecb,2026-09-15
2015-08-18,KRW,1182.59,ecb,2026-09-15
2015-08-19,JPY,124.36,ecb,2026-09-15
2015-08-19,KRW,1185.39,ecb,2026-09-15
2015-08-20,JPY,123.85,ecb,2026-09-15
2015-08-20,KRW,1191.57,ecb,2026-09-15
2015-08-21,JPY,122.68,ecb,2026-09-15
2015-08-21,KRW,1193.52,ecb,2026-09-15
2015-08-24,JPY,119.86,ecb,2026-09-15
2015-08-24,KRW,1208.36,ecb,2026-09-15
2015-08-25,JPY,119.80,ecb,2026-09-15
2015-08-25,KRW,1179.34,ecb,2026-09-15
2015-08-26,JPY,119.68,ecb,2026-09-15
2015-08-26,KRW,1187.13,ecb,2026-09-15
2015-08-27,JPY,120.19,ecb,2026-09-15
2015-08-27,KRW,1179.43,ecb,2026-09-15
2015-08-28,JPY,120.84,ecb,2026-09-15
2015-08-28,KRW,1177.85,ecb,2026-09-15
2015-08-31,JPY,121.33,ecb,2026-09-15
2015-08-31,KRW,1183.20,ecb,2026-09-15
2015-09-01,JPY,120.03,ecb,2026-09-15
2015-09-01,KRW,1176.11,ecb,2026-09-15
2015-09-02,JPY,120.13,ecb,2026-09-15
2015-09-02,KRW,1184.15,ecb,2026-09-15
2015-09-03,JPY,120.21,ecb,2026-09-15
2015-09-03,KRW,1191.58,ecb,2026-09-15
2015-09-04,JPY,119.25,ecb,2026-09-15
2015-09-04,KRW,1188.66,ecb,2026-09-15
2015-09-07,JPY,119.41,ecb,2026-09-15
2015-09-07,KRW,1201.91,ecb,2026-09-15
2015-09-08,JPY,119.89,ecb,2026-09-15
2015-09-08,KRW,1195.19,ecb,2026-09-15
2015-09-09,JPY,120.88,ecb,2026-09-15
2015-09-09,KRW,1189.94,ecb,2026-09-15
2015-09-10,JPY,121.04,ecb,2026-09-15
2015-09-10,KRW,1186.50,ecb,2026-09-15
2015-09-11,JPY,120.71,ecb,2026-09-15
2015-09-11,KRW,1183.22,ecb,2026-09-15
2015-09-14,JPY,120.34,ecb,2026-09-15
2015-09-14,KRW,1181.57,ecb,2026-09-15
2015-09-15,JPY,119.65,ecb,2026-09-15
2015-09-15,KRW,1179.81,ecb,2026-09-15
2015-09-16,JPY,120.64,ecb,2026-09-15
2015-09-16,KRW,1174.81,ecb,2026-09-15
2015-09-17,JPY,120.90,ecb,2026-09-15
2015-09-17,KRW,1162.91,ecb,2026-09-15
2015-09-18,JPY,119.37,ecb,2026-09-15
2015-09-18,KRW,1163.85,ecb,2026-09-15
2015-09-21,JPY,120.44,ecb,2026-09-15
2015-09-21,KRW,1178.19,ecb,2026-09-15
2015-09-22,JPY,119.90,ecb,2026-09-15
2015-09-22,KRW,1185.25,ecb,2026-09-15
2015-09-23,JPY,120.21,ecb,2026-09-15
2015-09-23,KRW,1191.25,ecb,2026-09-15
2015-09-24,JPY,119.63,ecb,2026-09-15
2015-09-24,KRW,1195.85,ecb,2026-09-15
2015-09-25,JPY,120.99,ecb,2026-09-15
2015-09-25,KRW,1189.96,ecb,2026-09-15
2015-09-28,JPY,120.08,ecb,2026-09-15
2015-09-28,KRW,1194.37,ecb,2026-09-15
2015-09-29,JPY,119.94,ecb,2026-09-15
2015-09-29,KRW,1194.78,ecb,2026-09-15
2015-09-30,JPY,120.23,ecb,2026-09-15
2015-09-30,KRW,1185.64,ecb,2026-09-15
2015-10-01,JPY,119.75,ecb,2026-09-15
2015-10-01,KRW,1178.48,ecb,2026-09-15
2015-10-02,JPY,120.29,ecb,2026-09-15
2015-10-02,KRW,1181.77,ecb,2026-09-15
2015-10-05,JPY,120.21,ecb,2026-09-15
2015-10-05,KRW,1161.32,ecb,2026-09-15
2015-10-06,JPY,120.34,ecb,2026-09-15
2015-10-06,KRW,1168.31,ecb,2026-09-15
2015-10-07,JPY,120.10,ecb,2026-09-15
2015-10-07,KRW,1153.66,ecb,2026-09-15
2015-10-08,JPY,119.89,ecb,2026-09-15
2015-10-08,KRW,1160.02,ecb,2026-09-15
2015-10-09,JPY,120.27,ecb,2026-09-15
2015-10-09,KRW,1142.45,ecb,2026-09-15
2015-10-12,JPY,120.12,ecb,2026-09-15
2015-10-12,KRW,1141.55,ecb,2026-09-15
2015-10-13,JPY,119.71,ecb,2026-09-15
2015-10-13,KRW,1150.81,ecb,2026-09-15
2015-10-14,JPY,119.61,ecb,2026-09-15
2015-10-14,KRW,1147.20,ecb,2026-09-15
2015-10-15,JPY,118.22,ecb,2026-09-15
2015-10-15,KRW,1121.51,ecb,2026-09-15
2015-10-16,JPY,119.06,ecb,2026-09-15
2015-10-16,KRW,1130.99,ecb,2026-09-15
2015-10-19,JPY,119.38,ecb,2026-09-15
2015-10-19,KRW,1129.95,ecb,2026-09-15
2015-10-20,JPY,119.72,ecb,2026-09-15
2015-10-20,KRW,1128.93,ecb,2026-09-15
2015-10-21,JPY,120.05,ecb,2026-09-15
2015-10-21,KRW,1138.50,ecb,2026-09-15
2015-10-22,JPY,119.76,ecb,2026-09-15
2015-10-22,KRW,1135.80,ecb,2026-09-15
2015-10-23,JPY,120.71,ecb,2026-09-15
2015-10-23,KRW,1127.15,ecb,2026-09-15
2015-10-26,JPY,121.02,ecb,2026-09-15
2015-10-26,KRW,1132.85,ecb,2026-09-15
2015-10-27,JPY,120.30,ecb,2026-09-15
2015-10-27,KRW,1136.82,ecb,2026-09-15
2015-10-28,JPY,120.32,ecb,2026-09-15
2015-10-28,KRW,1131.98,ecb,2026-09-15
2015-10-29,JPY,121.04,ecb,2026-09-15
2015-10-29,KRW,1145.25,ecb,2026-09-15
2015-10-30,JPY,120.61,ecb,2026-09-15
2015-10-30,KRW,1138.22,ecb,2026-09-15
2015-11-02,JPY,120.58,ecb,2026-09-15
2015-11-02,KRW,1137.26,ecb,2026-09-15
2015-11-03,JPY,120.85,ecb,2026-09-15
2015-11-03,KRW,1134.74,ecb,2026-09-15
2015-11-04,JPY,121.12,ecb,2026-09-15
2015-11-04,KRW,1131.12,ecb,2026-09-15
2015-11-05,JPY,121.89,ecb,2026-09-15
2015-11-05,KRW,1140.00,ecb,2026-09-15
2015-11-06,JPY,121.88,ecb,2026-09-15
2015-11-06,KRW,1144.39,ecb,2026-09-15
2015-11-09,JPY,123.50,ecb,2026-09-15
2015-11-09,KRW,1161.17,ecb,2026-09-15
2015-11-10,JPY,123.22,ecb,2026-09-15
2015-11-10,KRW,1159.61,ecb,2026-09-15
2015-11-11,JPY,123.09,ecb,2026-09-15
2015-11-11,KRW,1155.76,ecb,2026-09-15
2015-11-12,JPY,122.99,ecb,2026-09-15
2015-11-12,KRW,1161.54,ecb,2026-09-15
2015-11-13,JPY,122.67,ecb,2026-09-15
2015-11-13,KRW,1167.85,ecb,2026-09-15
2015-11-16,JPY,123.11,ecb,2026-09-15
2015-11-16,KRW,1172.79,ecb,2026-09-15
2015-11-17,JPY,123.23,ecb,2026-09-15
2015-11-17,KRW,1168.76,ecb,2026-09-15
2015-11-18,JPY,123.43,ecb,2026-09-15
2015-11-18,KRW,1169.98,ecb,2026-09-15
2015-11-19,JPY,123.14,ecb,2026-09-15
2015-11-19,KRW,1161.73,ecb,2026-09-15
2015-11-20,JPY,122.83,ecb,2026-09-15
2015-11-20,KRW,1155.00,ecb,2026-09-15
2015-11-23,JPY,123.15,ecb,2026-09-15
2015-11-23,KRW,1158.89,ecb,2026-09-15
2015-11-24,JPY,122.54,ecb,2026-09-15
2015-11-24,KRW,1154.31,ecb,2026-09-15
2015-11-25,JPY,122.75,ecb,2026-09-15
2015-11-25,KRW,1144.80,ecb,2026-09-15
2015-11-26,JPY,122.56,ecb,2026-09-15
2015-11-26,KRW,1148.99,ecb,2026-09-15
2015-11-27,JPY,122.64,ecb,2026-09-15
2015-11-27,KRW,1154.78,ecb,2026-09-15
2015-11-30,JPY,123.09,ecb,2026-09-15
2015-11-30,KRW,1157.21,ecb,2026-09-15
2015-12-01,JPY,123.18,ecb,2026-09-15
2015-12-01,KRW,1159.43,ecb,2026-09-15
2015-12-02,JPY,123.16,ecb,2026-09-15
2015-12-02,KRW,1163.74,ecb,2026-09-15
2015-12-03,JPY,123.31,ecb,2026-09-15
2015-12-03,KRW,1162.25,ecb,2026-09-15
2015-12-04,JPY,122.99,ecb,2026-09-15
2015-12-04,KRW,1163.36,ecb,2026-09-15
2015-12-07,JPY,123.42,ecb,2026-09-15
2015-12-07,KRW,1169.40,ecb,2026-09-15
2015-12-08,JPY,122.89,ecb,2026-09-15
2015-12-08,KRW,1183.47,ecb,2026-09-15
2015-12-09,JPY,122.51,ecb,2026-09-15
2015-12-09,KRW,1181.94,ecb,2026-09-15
2015-12-10,JPY,121.51,ecb,2026-09-15
2015-12-10,KRW,1176.43,ecb,2026-09-15
2015-12-11,JPY,121.48,ecb,2026-09-15
2015-12-11,KRW,1188.06,ecb,2026-09-15
2015-12-14,JPY,120.68,ecb,2026-09-15
2015-12-14,KRW,1187.95,ecb,2026-09-15
2015-12-15,JPY,120.99,ecb,2026-09-15
2015-12-15,KRW,1175.92,ecb,2026-09-15
2015-12-16,JPY,121.81,ecb,2026-09-15
2015-12-16,KRW,1175.42,ecb,2026-09-15
2015-12-17,JPY,122.52,ecb,2026-09-15
2015-12-17,KRW,1186.10,ecb,2026-09-15
2015-12-18,JPY,121.45,ecb,2026-09-15
2015-12-18,KRW,1181.40,ecb,2026-09-15
2015-12-21,JPY,121.37,ecb,2026-09-15
2015-12-21,KRW,1177.60,ecb,2026-09-15
2015-12-22,JPY,120.91,ecb,2026-09-15
2015-12-22,KRW,1171.75,ecb,2026-09-15
2015-12-23,JPY,120.85,ecb,2026-09-15
2015-12-23,KRW,1174.29,ecb,2026-09-15
2015-12-24,JPY,120.43,ecb,2026-09-15
2015-12-24,KRW,1168.72,ecb,2026-09-15
2015-12-28,JPY,120.46,ecb,2026-09-15
2015-12-28,KRW,1168.43,ecb,2026-09-15
2015-12-29,JPY,120.42,ecb,2026-09-15
2015-12-29,KRW,1170.72,ecb,2026-09-15
2015-12-30,JPY,120.50,ecb,2026-09-15
2015-12-30,KRW,1175.90,ecb,2026-09-15
2015-12-31,JPY,120.39,ecb,2026-09-15
2015-12-31,KRW,1176.43,ecb,2026-09-15
2016-01-04,JPY,119.09,ecb,2026-09-15
2016-01-04,KRW,1190.92,ecb,2026-09-15
2016-01-05,JPY,119.00,ecb,2026-09-15
2016-01-05,KRW,1188.37,ecb,2026-09-15
2016-01-06,JPY,118.40,ecb,2026-09-15
2016-01-06,KRW,1200.15,ecb,2026-09-15
2016-01-07,JPY,117.54,ecb,2026-09-15
2016-01-07,KRW,1202.49,ecb,2026-09-15
2016-01-08,JPY,118.32,ecb,2026-09-15
2016-01-08,KRW,1201.34,ecb,2026-09-15
2016-01-11,JPY,117.86,ecb,2026-09-15
2016-01-11,KRW,1202.35,ecb,2026-09-15
2016-01-12,JPY,117.93,ecb,2026-09-15
2016-01-12,KRW,1207.89,ecb,2026-09-15
